Z,symbol,name,atomic_weight,discovery_year,year_display,discoverer,source,disputed,alt_year,alt_basis,notes
72,Hf,Hafnium,178.49,1923,1923,Dirk Coster and George de Hevesy,IUPAC,0,,,Filled Moseley's gap at Z=72
73,Ta,Tantalum,180.95,1802,1802,Anders Gustaf Ekeberg,RSC,0,,,
74,W,Tungsten,183.84,1781,1781,Carl Wilhelm Scheele,HIST,1,1783,isolation,Acid identified 1781; metal by the Elhuyar brothers 1783
75,Re,Rhenium,186.21,1925,1925,Noddack Tacke and Berg,IUPAC,0,,,Filled Moseley's gap at Z=75
76,Os,Osmium,190.23,1803,1803,Smithson Tennant,RSC,0,,,
77,Ir,Iridium,192.22,1803,1803,Smithson Tennant,RSC,0,,,
78,Pt,Platinum,195.08,1735,1735,Antonio de Ulloa,HIST,1,1748,publication,Pre-Columbian use in South America; described in Europe 1735-1748
79,Au,Gold,196.97,-6000,ancient,unknown (prehistoric),HIST,0,,,
80,Hg,Mercury,200.59,-2000,ancient,unknown (prehistoric),HIST,0,,,
81,Tl,Thallium,204.38,1861,1861,William Crookes,RSC,0,,,Found by spectroscopy
82,Pb,Lead,207.2,-6000,ancient,unknown (prehistoric),HIST,0,,,
83,Bi,Bismuth,208.98,1400,ancient,unknown (medieval),HIST,1,1753,distinction from lead,Known as a metal by c.1400; shown distinct from lead by Geoffroy 1753
84,Po,Polonium,209,1898,1898,Marie and Pierre Curie,IUPAC,0,,,
85,At,Astatine,210,1940,1940,Corson MacKenzie and Segre,IUPAC,0,,,Filled Moseley's gap at Z=85
86,Rn,Radon,222,1899,1899,Ernest Rutherford and Robert Owens,HIST,1,1900,Dorn's emanation,Thorium emanation 1899; radium emanation by Dorn 1900
87,Fr,Francium,223,1939,1939,Marguerite Perey,IUPAC,0,,,Filled Moseley's gap at Z=87
88,Ra,Radium,226,1898,1898,Marie and Pierre Curie,IUPAC,0,,,
89,Ac,Actinium,227,1899,1899,Andre-Louis Debierne,HIST,1,1902,Giesel's claim,Priority contested with Friedrich Giesel
90,Th,Thorium,232.04,1829,1829,Jons Jacob Berzelius,RSC,0,,,
91,Pa,Protactinium,231.04,1913,1913,Fajans and Gohring,HIST,1,1917,long-lived isotope,Short-lived brevium 1913; long-lived isotope 1917-18
92,U,Uranium,238.03,1789,1789,Martin Heinrich Klaproth,RSC,0,1841,isolation,Metal isolated by Peligot 1841
93,Np,Neptunium,237,1940,1940,Edwin McMillan and Philip Abelson,IUPAC,0,,,First transuranic element
94,Pu,Plutonium,244,1940,1940,Seaborg McMillan Kennedy and Wahl,IUPAC,1,1941,publication,Produced Dec 1940; identified Feb 1941
95,Am,Americium,243,1944,1944,Seaborg James Morgan and Ghiorso,IUPAC,0,,,
96,Cm,Curium,247,1944,1944,Seaborg James and Ghiorso,IUPAC,0,,,
97,Bk,Berkelium,247,1949,1949,Thompson Ghiorso and Seaborg,IUPAC,0,,,
98,Cf,Californium,251,1950,1950,Thompson Street Ghiorso and Seaborg,IUPAC,0,,,
99,Es,Einsteinium,252,1952,1952,Ghiorso et al (Argonne Los Alamos Berkeley),IUPAC,0,1955,declassification,Found in H-bomb debris; publication delayed by secrecy
100,Fm,Fermium,257,1952,1952,Ghiorso et al (Argonne Los Alamos Berkeley),IUPAC,0,1955,declassification,Found in H-bomb debris; publication delayed by secrecy
101,Md,Mendelevium,258,1955,1955,Ghiorso Harvey Choppin Thompson and Seaborg,IUPAC,0,,,
102,No,Nobelium,259,1966,1966,Flerov et al (Dubna),IUPAC,1,1957,Stockholm claim,Contested between Stockholm Berkeley and Dubna; IUPAC credits Dubna
103,Lr,Lawrencium,266,1961,1961,Ghiorso et al (Berkeley),IUPAC,1,1971,Dubna claim,Credit shared between Berkeley and Dubna
104,Rf,Rutherfordium,267,1964,1964,Flerov et al (Dubna),IUPAC,1,1969,Berkeley claim,Transfermium Wars; credit shared
105,Db,Dubnium,268,1968,1968,Flerov et al (Dubna),IUPAC,1,1970,Berkeley claim,Transfermium Wars; credit shared
106,Sg,Seaborgium,269,1974,1974,Ghiorso et al (Berkeley),IUPAC,1,1974,Dubna claim,
107,Bh,Bohrium,270,1981,1981,Munzenberg et al (GSI Darmstadt),IUPAC,0,,,
108,Hs,Hassium,269,1984,1984,Munzenberg et al (GSI Darmstadt),IUPAC,0,,,
109,Mt,Meitnerium,278,1982,1982,Munzenberg et al (GSI Darmstadt),IUPAC,0,,,
110,Ds,Darmstadtium,281,1994,1994,Hofmann et al (GSI Darmstadt),IUPAC,0,,,
111,Rg,Roentgenium,282,1994,1994,Hofmann et al (GSI Darmstadt),IUPAC,0,,,
112,Cn,Copernicium,285,1996,1996,Hofmann et al (GSI Darmstadt),IUPAC,0,,,
113,Nh,Nihonium,286,2004,2004,Morita et al (RIKEN),IUPAC,1,2003,Dubna-Livermore claim,IUPAC awarded priority to RIKEN in 2015
114,Fl,Flerovium,289,1999,1999,Oganessian et al (Dubna-Livermore),IUPAC,1,1998,first event,
115,Mc,Moscovium,290,2003,2003,Oganessian et al (Dubna-Livermore),IUPAC,0,,,
116,Lv,Livermorium,293,2000,2000,Oganessian et al (Dubna-Livermore),IUPAC,0,,,
117,Ts,Tennessine,294,2010,2010,Oganessian et al (Dubna-Livermore-Oak Ridge),IUPAC,0,,,
118,Og,Oganesson,294,2002,2002,Oganessian et al (Dubna-Livermore),IUPAC,1,2006,publication,
